dataset,scenario,missing_rate,seed,backbone,base_mae,phyguard_mae,gain_pct,gate_mean,delta_abs_mean,failure_score_mean
METR-LA,random_missing_70,70,1,SAITS,0.4685432063680516,0.4477868697931629,4.429972794992165,0.6006376271410874,0.0766359245390153,0.080098087230793
METR-LA,random_missing_30,30,2,MagiNet,0.3079213000583817,0.2987640439927312,2.9738949737852747,0.6040196850937263,0.030013194441705,0.0385875578311058
METR-LA,random_missing_30,30,2,SAITS,0.3981243474790667,0.3742103181803837,6.006673404956832,0.6400904505780316,0.0520287031960048,0.0385875578311058
METR-LA,random_missing_50,50,2,MagiNet,0.3682265680122971,0.349256514157154,5.151734150402096,0.636142419646457,0.0602650341998664,0.0606096819660474
METR-LA,random_missing_50,50,2,SAITS,0.4700195017198367,0.4418484641952676,5.993589079067821,0.6354486576768975,0.0690913539225506,0.0606096819660474
METR-LA,random_missing_70,70,2,MagiNet,0.4205499931579986,0.4044295439301353,3.8331826156532474,0.6079978369180934,0.0677268622932257,0.0809355395843428
METR-LA,random_missing_70,70,2,SAITS,0.4848717110723771,0.4640920762333548,4.285594388062887,0.6058363673683643,0.0702846342669861,0.0809355395843428
METR-LA,random_missing_30,30,3,MagiNet,0.3245622954165443,0.3063117394868018,5.623128806850372,0.613425883459829,0.0622814630190424,0.0396611374602626
METR-LA,random_missing_30,30,3,SAITS,0.4208814844274153,0.3995734377620765,5.062718949094937,0.6343261964446704,0.0517917800693454,0.0396611374602626
METR-LA,random_missing_50,50,3,MagiNet,0.3436965099674686,0.3222081946335804,6.252119154751405,0.6210950306085137,0.0854006171941985,0.0600605208195421
METR-LA,random_missing_50,50,3,SAITS,0.443127535604857,0.4145859241028647,6.440947404235168,0.6173398924131235,0.0785285271307749,0.0600605208195421
METR-LA,random_missing_70,70,3,MagiNet,0.405855759401959,0.3903171827260064,3.828595828934193,0.5996727006200575,0.0719774390192532,0.0804236954360621
METR-LA,random_missing_70,70,3,SAITS,0.4479685955472681,0.4282672720277678,4.397925148175137,0.5967322716346154,0.0709175773527363,0.0804236954360621
