dataset,scenario,seed,backbone,masked_mae_phypro,masked_mae_dora
PEMS08,sensor_failure_30,3,ImputeFormer,0.5902031792534722,0.5874389448976205
PEMS08,incident_perturbation,3,BRITS,0.2460099958065927,0.2816401631974298
PEMS08,incident_perturbation,3,ImputeFormer,0.1553299333468955,0.1606803809235475
PEMS-BAY,random_missing_50,1,BRITS,0.3306632669040152,0.3408960204036273
PEMS-BAY,random_missing_50,1,ImputeFormer,0.2362344530441775,0.2526524286135717
PEMS-BAY,sensor_failure_30,1,BRITS,0.5439707438151041,0.5609294865407101
PEMS-BAY,sensor_failure_30,1,ImputeFormer,0.6705709963428731,0.6969236516628136
PEMS-BAY,incident_perturbation,1,BRITS,0.351781067896919,0.3532512787626891
PEMS-BAY,incident_perturbation,1,ImputeFormer,0.2553131288996831,0.2627105772086754
PEMS-BAY,random_missing_50,2,BRITS,0.3263606412706281,0.3366299761337469
PEMS-BAY,random_missing_50,2,ImputeFormer,0.2471448789247393,0.2387091285419598
PEMS-BAY,sensor_failure_30,2,BRITS,0.5264039850559364,0.5197982269079506
PEMS-BAY,sensor_failure_30,2,ImputeFormer,0.6890804783827593,0.6920692807152158
PEMS-BAY,incident_perturbation,2,BRITS,0.3464040337765447,0.3520566216359377
PEMS-BAY,incident_perturbation,2,ImputeFormer,0.2428086422220801,0.25135226796865
PEMS-BAY,random_missing_50,3,BRITS,0.330408191338036,0.337934543979921
PEMS-BAY,random_missing_50,3,ImputeFormer,0.232530653629783,0.2576287048684675
PEMS-BAY,sensor_failure_30,3,BRITS,0.5786068455702593,0.5646385659976881
PEMS-BAY,sensor_failure_30,3,ImputeFormer,0.6930009491589605,0.6963057745070684
PEMS-BAY,incident_perturbation,3,BRITS,0.3453803941661049,0.3520981798921417
PEMS-BAY,incident_perturbation,3,ImputeFormer,0.2469110630938623,0.2715934357645576
METR-LA,random_missing_50,1,BRITS,0.3976465683485078,0.4037682370700556
METR-LA,random_missing_50,1,ImputeFormer,0.3239569749383535,0.3368823748498356
METR-LA,sensor_failure_30,1,BRITS,0.4814001924248152,0.487845964329217
METR-LA,sensor_failure_30,1,ImputeFormer,0.669697751281082,0.6075510004515289
METR-LA,incident_perturbation,1,BRITS,0.4064158229798937,0.4194115136570561
METR-LA,incident_perturbation,1,ImputeFormer,0.414049311219651,0.4491044472369752
METR-LA,random_missing_50,2,BRITS,0.400333188832401,0.411922547500252
METR-LA,random_missing_50,2,ImputeFormer,0.30621140407658,0.3079732228353997
METR-LA,sensor_failure_30,2,BRITS,0.5829078510243405,0.592169197656775
METR-LA,sensor_failure_30,2,ImputeFormer,0.7024024225050404,0.7124669885122648
METR-LA,incident_perturbation,2,BRITS,0.4166490470025703,0.4276619768830007
METR-LA,incident_perturbation,2,ImputeFormer,0.3169338555841145,0.3331513290935893
METR-LA,random_missing_50,3,BRITS,0.3833708206848615,0.3955983909252534
METR-LA,random_missing_50,3,ImputeFormer,0.27832215953151,0.3130029343666465
METR-LA,sensor_failure_30,3,BRITS,0.5900702527774278,0.5385872625535534
METR-LA,sensor_failure_30,3,ImputeFormer,0.6886143017840641,0.6799979261172715
METR-LA,incident_perturbation,3,BRITS,0.3934863965883013,0.4020352957378196
METR-LA,incident_perturbation,3,ImputeFormer,0.3110771454329954,0.3342413340236798
