backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,gate_mean,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
MagiNet,0.6071045917013417,PEMS04,0.1228375089341315,0.7285505101300668,1.0,0.2302871346473693,1.253736972808838,0.583275670590608,MagiNet+DoRAAdapter,DoRAAdapter,3.925010852570857,0.4893201887607574,0.4369214475154876,sensor_failure_30,1
BRITS,0.5067891107089277,PEMS04,0.1349248747894729,0.7285505101300668,1.0,0.2129663825035095,0.7567859292030334,0.456543687461079,BRITS+DoRAAdapter,DoRAAdapter,9.91446386398522,0.3741038739681244,0.3992292284965515,sensor_failure_30,1
ImputeFormer,0.7392810876818671,PEMS04,0.1672333012456479,0.7285505101300668,1.0,0.311357319355011,1.2740134000778198,0.6575555663177932,ImputeFormer+DoRAAdapter,DoRAAdapter,11.054729077452416,0.5473362803459167,0.502510130405426,sensor_failure_30,1
SAITS,0.2162400692072805,PEMS04,0.0793357312075244,0.0782645901272767,1.0,0.1628170162439346,0.7091228365898132,0.1894252236919251,SAITS+DoRAAdapter,DoRAAdapter,12.400498026871954,0.1640481054782867,0.2621198892593384,incident_perturbation,1
MagiNet,0.1707685601708008,PEMS04,0.0573846111229693,0.0782645901272767,1.0,0.153571680188179,0.7293707132339478,0.1605183317445135,MagiNet+DoRAAdapter,DoRAAdapter,6.002409586422201,0.1432028412818908,0.2334067821502685,incident_perturbation,1
BRITS,0.2125689825989455,PEMS04,0.0801449861633585,0.0782645901272767,1.0,0.1522900164127349,0.6662459969520569,0.1827328383383833,BRITS+DoRAAdapter,DoRAAdapter,14.0359820589884,0.1550779193639755,0.253328412771225,incident_perturbation,1
ImputeFormer,0.1948132688657645,PEMS04,0.075232751073657,0.0782645901272767,1.0,0.1621475368738174,0.7408025860786438,0.1750147748208966,ImputeFormer+DoRAAdapter,DoRAAdapter,10.162805726805988,0.1596993803977966,0.2450419962406158,incident_perturbation,1
SAITS,0.1827760008732006,PEMS04,0.0648948520850973,0.077540402069221,1.0,0.1442092508077621,0.7643858194351196,0.1594330149237934,SAITS+DoRAAdapter,DoRAAdapter,12.77136267228064,0.127357929944992,0.2034332007169723,random_missing_50,2
MagiNet,0.1549656838748941,PEMS04,0.0541024555461473,0.077540402069221,1.0,0.13913194835186,0.7785236835479736,0.1430151718617696,MagiNet+DoRAAdapter,DoRAAdapter,7.711715080593118,0.1322695910930633,0.1839415580034256,random_missing_50,2
BRITS,0.1897089496454276,PEMS04,0.0751787498015453,0.077540402069221,1.0,0.1518490016460418,0.8272954225540161,0.1599207338854784,BRITS+DoRAAdapter,DoRAAdapter,15.70206140280909,0.1312341839075088,0.2057477980852127,random_missing_50,2
ImputeFormer,0.1604043514500423,PEMS04,0.056394884333986,0.077540402069221,1.0,0.1331656575202942,0.7099377512931824,0.145954567104149,ImputeFormer+DoRAAdapter,DoRAAdapter,9.008349346678209,0.129354253411293,0.1823581755161285,random_missing_50,2
SAITS,0.3318004055299621,PEMS04,0.1622232768846594,0.7550609975621321,1.0,0.2068415880203247,1.0312165021896362,0.3327816396519757,SAITS+DoRAAdapter,DoRAAdapter,-0.2957302359068598,0.376621276140213,0.3145777285099029,sensor_failure_30,2
MagiNet,0.5793707474418308,PEMS04,0.1395864210266998,0.7550609975621321,1.0,0.2048363536596298,1.2405483722686768,0.5484142579894135,MagiNet+DoRAAdapter,DoRAAdapter,5.343122618651956,0.4561377167701721,0.4048522710800171,sensor_failure_30,2
BRITS,0.3987945335498754,PEMS04,0.172310912090799,0.7550609975621321,1.0,0.2239248305559158,1.1135814189910889,0.3771410679471665,BRITS+DoRAAdapter,DoRAAdapter,5.429729793425256,0.4141808152198791,0.3497175574302673,sensor_failure_30,2
ImputeFormer,0.6846311265143795,PEMS04,0.18160012839497,0.7550609975621321,1.0,0.2898275852203369,1.1023786067962646,0.5886890024378679,ImputeFormer+DoRAAdapter,DoRAAdapter,14.01369589562424,0.5827353596687317,0.4553508758544922,sensor_failure_30,2
SAITS,0.2100174143998729,PEMS04,0.0720496732112616,0.077540402069221,1.0,0.1793659776449203,0.8300322890281677,0.187838811785563,SAITS+DoRAAdapter,DoRAAdapter,10.560363614458112,0.1553480774164199,0.2678489685058594,incident_perturbation,2
MagiNet,0.172359692527519,PEMS04,0.0590520108422417,0.077540402069221,1.0,0.1581481993198394,0.7635596990585327,0.1620824347745554,MagiNet+DoRAAdapter,DoRAAdapter,5.962680486519618,0.1509022861719131,0.2363785803318023,incident_perturbation,2
BRITS,0.2161027631509314,PEMS04,0.0800218465548264,0.077540402069221,1.0,0.1817060559988021,0.8472406268119812,0.1867871011060542,BRITS+DoRAAdapter,DoRAAdapter,13.565611849397056,0.1563335359096527,0.2719519734382629,incident_perturbation,2
ImputeFormer,0.1879916549798899,PEMS04,0.0638604979228408,0.077540402069221,1.0,0.160294622182846,0.7048338651657104,0.1725422708509737,ImputeFormer+DoRAAdapter,DoRAAdapter,8.218122304720833,0.1531052738428115,0.2452787011861801,incident_perturbation,2
SAITS,0.1849175904387135,PEMS04,0.066566576510004,0.0794457188392644,1.0,0.1554230451583862,0.8873229622840881,0.1615802472891233,SAITS+DoRAAdapter,DoRAAdapter,12.620401928352406,0.1336437165737152,0.2103823721408844,random_missing_50,3
MagiNet,0.1562127732661441,PEMS04,0.028000344405403,0.0794457188392644,1.0,0.0926824212074279,0.4519713222980499,0.1553246948271245,MagiNet+DoRAAdapter,DoRAAdapter,0.5685056480666716,0.1489432007074356,0.1623147279024124,random_missing_50,3
BRITS,0.1878198809222719,PEMS04,0.073656305856705,0.0794457188392644,1.0,0.1416805684566497,0.8041008114814758,0.1610481142085643,BRITS+DoRAAdapter,DoRAAdapter,14.253957878286034,0.1316791921854019,0.200266882777214,random_missing_50,3
ImputeFormer,0.158325282484825,PEMS04,0.0364983717205937,0.0794457188392644,1.0,0.1193859279155731,0.6815434098243713,0.1476044148448923,ImputeFormer+DoRAAdapter,DoRAAdapter,6.771418608370551,0.1316458731889724,0.175113558769226,random_missing_50,3
SAITS,0.4302847765494084,PEMS04,0.0612762630849644,0.7591920935589335,1.0,0.1587486416101455,0.4380648136138916,0.4245190274888191,SAITS+DoRAAdapter,DoRAAdapter,1.3399844416590074,0.4013802409172058,0.3760065734386444,sensor_failure_30,3
MagiNet,0.5871628471042799,PEMS04,0.0381255357161812,0.7591920935589335,1.0,0.2124358415603637,1.2741743326187134,0.5730351987092391,MagiNet+DoRAAdapter,DoRAAdapter,2.4060869083788785,0.4568660259246826,0.4209292829036712,sensor_failure_30,3
BRITS,0.4347200255463089,PEMS04,0.0941718142965565,0.7591920935589335,1.0,0.1745642721652984,0.5340547561645508,0.4185202501822209,BRITS+DoRAAdapter,DoRAAdapter,3.7264847285859193,0.4331319034099579,0.3444314002990722,sensor_failure_30,3
ImputeFormer,0.6669447525687839,PEMS04,0.1586755116780599,0.7591920935589335,1.0,0.2991884052753448,1.3863959312438965,0.5884848332059556,ImputeFormer+DoRAAdapter,DoRAAdapter,11.764080766905288,0.5147255659103394,0.4660828113555908,sensor_failure_30,3
SAITS,0.2111204622570731,PEMS04,0.0430624810047352,0.0794457188392644,1.0,0.1515980213880539,0.7245116829872131,0.1959861511236695,SAITS+DoRAAdapter,DoRAAdapter,7.168566690127433,0.1647157222032547,0.264525294303894,incident_perturbation,3
MagiNet,0.1737971580692947,PEMS04,0.0227667878290033,0.0794457188392644,1.0,0.1197053790092468,0.4894578158855438,0.1726257114590063,MagiNet+DoRAAdapter,DoRAAdapter,0.6740309354318097,0.157778725028038,0.2265360057353973,incident_perturbation,3
BRITS,0.2140584850917723,PEMS04,0.0787259411024586,0.0794457188392644,1.0,0.1644190549850464,0.8435611724853516,0.1859530482219369,BRITS+DoRAAdapter,DoRAAdapter,13.129793410331708,0.159846156835556,0.260286808013916,incident_perturbation,3
ImputeFormer,0.1795712204205206,PEMS04,0.0367067799944528,0.0794457188392644,1.0,0.1367989033460617,0.7054062485694885,0.1705064941223603,ImputeFormer+DoRAAdapter,DoRAAdapter,5.047983901280218,0.1563346832990646,0.2328230589628219,incident_perturbation,3
SAITS,0.2803213512631668,PEMS08,0.0484356224000843,0.081206384339003,1.0,0.1491155326366424,1.39956796169281,0.2500120160379065,SAITS+DoRAAdapter,DoRAAdapter,10.812353425339236,0.2071465998888015,0.2668371200561523,random_missing_50,1
MagiNet,0.1334601328615867,PEMS08,0.0315243987830325,0.081206384339003,1.0,0.0774675980210304,0.7860634922981262,0.1247167057395936,MagiNet+DoRAAdapter,DoRAAdapter,6.551340040295853,0.1098231151700019,0.1294035762548446,random_missing_50,1
BRITS,0.2762827293411974,PEMS08,0.0612842822524293,0.081206384339003,1.0,0.1461258977651596,1.2632261514663696,0.2404471445923678,BRITS+DoRAAdapter,DoRAAdapter,12.970620651634782,0.2058581709861755,0.2590436041355133,random_missing_50,1
ImputeFormer,0.1462029079593753,PEMS08,0.0373056544977939,0.081206384339003,1.0,0.0849128812551498,0.7256537675857544,0.1408247760294751,ImputeFormer+DoRAAdapter,DoRAAdapter,3.678539643954678,0.1209618225693702,0.1484713852405548,random_missing_50,1
SAITS,0.3950395272448172,PEMS08,0.0822889913920483,0.7445933024088541,1.0,0.1812557131052017,1.4916094541549685,0.3880127052855647,SAITS+DoRAAdapter,DoRAAdapter,1.7787642690493983,0.3872812390327453,0.3210510611534118,sensor_failure_30,1
MagiNet,0.4503980150409773,PEMS08,0.004569155328414,0.7445933024088541,1.0,0.137048602104187,1.1759564876556396,0.4505254209431168,MagiNet+DoRAAdapter,DoRAAdapter,-0.0282874031156437,0.354937195777893,0.3251034021377563,sensor_failure_30,1
BRITS,0.4089441237106822,PEMS08,0.1178196053099788,0.7445933024088541,1.0,0.1810464859008789,1.2062644958496094,0.4100822997249029,BRITS+DoRAAdapter,DoRAAdapter,-0.2783206673550378,0.397893875837326,0.3418870568275451,sensor_failure_30,1
