backbone,base_test_mae,dataset,delta_abs_mean,failure_score_mean,fixed_harm_coef,gate_mean,harm_mode,mae,mape,masked_mae,model,plugin,plugin_gain_pct,plugin_val_mae,rmse,scenario,seed
MagiNet,0.1585416352379913,PEMS04,0.0814674897769874,0.0782645901272767,,0.6011469727899891,,0.1013843491673469,0.5190327167510986,0.145883652648675,MagiNet+CalibrationGuard,CalibrationGuard,7.9840116259145555,0.1352177709341049,0.1631147414445877,random_missing_50,1
MagiNet,0.1585416352379913,PEMS04,0.0811425456932818,0.0782645901272767,,0.5995388945237606,,0.1000768840312957,0.5108312964439392,0.145981014672778,MagiNet+FailureAnomalyGuard,FailureAnomalyGuard,7.922600612992426,0.1352876275777816,0.1626997739076614,random_missing_50,1
MagiNet,0.1585416352379913,PEMS04,0.0678350427189254,0.0782645901272767,1.0,0.6069338612280882,failure_aware_soft,0.0971907973289489,0.5056784152984619,0.1466518831527321,MagiNet+PhyGuard,PhyGuard,7.499450896549131,0.1367514133453369,0.1616138368844986,random_missing_50,1
SAITS,0.4873929231063179,PEMS04,,0.7285505101300668,,,,0.1460591107606887,0.4804407060146332,0.4873929231063179,SAITS,Backbone,0.0,,0.4188922345638275,sensor_failure_30,1
SAITS,0.4873929231063179,PEMS04,0.0997138645337975,0.7285505101300668,,1.0,,0.1993727684020996,0.6291592121124268,0.4609181500863338,SAITS+GenericAdapter,GenericAdapter,5.431915763415595,0.3613082468509674,0.407573401927948,sensor_failure_30,1
SAITS,0.4873929231063179,PEMS04,0.1066388669221297,0.7285505101300668,,0.6925133414890455,,0.1789670884609222,0.5568324327468872,0.4644757699275362,SAITS+CalibrationGuard,CalibrationGuard,4.701987265781991,0.364344984292984,0.4053737223148346,sensor_failure_30,1
SAITS,0.4873929231063179,PEMS04,0.1048657721367435,0.7285505101300668,,0.7696508877519248,,0.1722186505794525,0.5405508875846863,0.4594934435858243,SAITS+FailureAnomalyGuard,FailureAnomalyGuard,5.724227455474928,0.3602728843688965,0.3989135026931762,sensor_failure_30,1
SAITS,0.4873929231063179,PEMS04,0.1128318275230518,0.7285505101300668,1.0,0.806365966796875,failure_aware_soft,0.1829914599657058,0.6193081140518188,0.4581512782884681,SAITS+PhyGuard,PhyGuard,5.999603898941142,0.360136330127716,0.3980364799499511,sensor_failure_30,1
MagiNet,0.6071045917013417,PEMS04,,0.7285505101300668,,,,0.1819336265325546,1.1796444654464722,0.6071045917013417,MagiNet,Backbone,0.0,,0.4423092603683471,sensor_failure_30,1
MagiNet,0.6071045917013417,PEMS04,0.1417518560437188,0.7285505101300668,,1.0,,0.2410925477743148,1.2398216724395752,0.5809897823610167,MagiNet+GenericAdapter,GenericAdapter,4.30153382090904,0.4875188767910003,0.4378215670585632,sensor_failure_30,1
